run_dir,job_id,composition,temperature_K,recombination_rate_defects_per_ps,crowdion_fraction,dumbbell_fraction,median_cluster_size_atoms,crowdion_mean_v111_Aps,dumbbell_mean_v111_Aps,crowdion_mean_net_displacement_A,dumbbell_mean_net_displacement_A,dumbbell_mean_tortuosity,turn_rate_dumbbell_per_ps,RRI_phys,RRI_ml
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3685523/analysis_production_eigen_greedy1/run_4,3685523,V-2Cr-2Ti-2W-2Zr,873,-12.58270293729674,0.011242482499436648,0.9887575175005633,2.0,36.870366816441134,14.382017917863726,1.212176868085215,4.817240498957513,3.5094452152624718,0.9069056418676164,-0.19884002850778798,0.6227118856996597
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3685636/analysis_production_eigen_greedy1/run_0,3685636,V-4Cr-4Ti,300,-15.678407601847407,0.004153262023504345,0.9958467379764957,2.0,23.849201023108733,5.573417982195042,0.6739571692634769,3.105568697278655,6.531828789143303,0.2266626805136277,0.01464443361348622,0.0304974896091035
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3685636/analysis_production_eigen_greedy1/run_0.tar,3685636,V-4Cr-4Ti,300,,,,,,,,,,,,
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3685636/analysis_production_eigen_greedy1/run_1,3685636,V-4Cr-4Ti,300,-16.56287580187445,0.00659748908422561,0.9934025109157744,2.0,39.54017099825142,8.473740559600827,1.2048328633627001,3.898671982348036,7.134991384677956,0.5161040518166093,0.11517195355345573,0.5274715763018981
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3685636/analysis_production_eigen_greedy1/run_2,3685636,V-4Cr-4Ti,300,-32.24109915282967,0.006417461774434725,0.9935825382255653,2.0,36.963202710000736,9.644658246376519,1.1992817159477067,3.846877726166286,6.285645439123126,0.5262394009180442,0.593480328742887,-1.583469303757515
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3685636/analysis_production_eigen_greedy1/run_3,3685636,V-4Cr-4Ti,300,-24.84401117282431,0.0064630663348544054,0.9935369336651455,2.0,43.59465178762967,9.503690605916235,1.1418873849784517,3.2746497503353007,5.538329103474366,0.4249854267388539,0.19010653631772118,-0.18052985421911505
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3685636/analysis_production_eigen_greedy1/run_4,3685636,V-4Cr-4Ti,300,-9.688446654382355,0.003737121019468517,0.9962628789805315,2.0,34.706187933038905,6.449472334652152,0.8100990909695408,2.9655722258115342,6.371415490943465,0.3274466280702323,-0.1674631751018997,1.2690620198790286
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3693617/analysis_production_eigen_greedy1/run_0,3693617,V-4Cr-4Ti,873,-19.256139397163775,0.011484677492840099,0.98851532250716,2.0,44.37024839837322,13.770370764471252,1.9193403135484686,4.187093872002816,4.012130176747901,0.5344518939712916,-0.2419229273890976,0.5107134615268881
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3693617/analysis_production_eigen_greedy1/run_1,3693617,V-4Cr-4Ti,873,-28.462121393880015,0.019714190622591103,0.980285809377409,2.0,65.23259656048423,25.040574076884198,2.393734903332439,5.146137497919743,2.5850910358595267,0.871748240901119,-0.2151020248633063,0.4080256988081613
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-4Cr-4Ti/3693617/analysis_production_eigen_greedy1/run_2,3693617,V-4Cr-4Ti,873,-16.884169321502608,0.009201454107815173,0.9907985458921849,2.0,44.1576388593504,10.959438249980183,1.6067567272264622,3.5196921336253935,4.434914257618043,0.38401749593453643,-0.29897604415233253,0.9203184809905925
